"Tour Code";"Themes";"Tour Destination";"Price"
"P7XTKC";"National Park,Outdoor Activities,";"Joshua Tree National Park,Joshua Tree National Park,";"$"
"PMKRPS";"National Park,Outdoor Activities,";"Joshua Tree National Park,Joshua Tree National Park,";"$"
"PHYJGW";"National Park,Outdoor Activities,";"Joshua Tree National Park,Joshua Tree National Park,";"$"
"PTJZEL";;"Lincoln Memorial,National Archives,Washington Monument,White House,Independence,Lincoln,Washington DC,Vietnam,Washington,Washington DC,";"$$"
"PWQQVJ";;"Lincoln Memorial,US Capitol,White House,Lincoln,Washington DC,Washington, DC,Vietnam,Washington,Washington DC,";"$$"
"PTCACW";;;"$"
"PGDXU5";;"Lincoln Memorial,US Capitol,White House,Lincoln,Washington, DC,Vietnam,Washington,";"$$"
"PC9DA1";"Outdoor Activities,Sky Activities,";"Boulder,The Strip,Boulder,";"$$$"
"PDFE7F";;;"$$"
"PVUU6A";;"Henderson,Las Vegas,Mountains,";"$$$$"
"PSGKBN";"Food Tour,";"Alcatraz,Golden Gate Bridge,Mary,Merced,Napa,San Francisco,The Valley,Vallejo,San Francisco,";"$$"
"PJALYS";;"Lincoln Memorial,White House,";"$"
"P5DZ06";;"Philadelphia,";"$"
"PRCZRB";"Museum,National Park,";"Big Island,Hilo,Islands,Hawaii,Hawaii,Hawaii Volcanoes National Park,";"$$$$"
"PFFVPT";;"Florida,The Coast,Florida,";"$$"
"PHZPRA";;"Lincoln Memorial,US Capitol,White House,Arlington,Lincoln,Martin,Virginia,Washington DC,Vietnam,Virginia,Washington,Washington DC,";"$$"
"P3337C";"Water Sports,";;"$$"
"PQZZVE";;"Las Vegas,Mountains,";"$$$$"
"P41XQN";;"Lincoln Memorial,White House,";"$"
"PYPSYW";;"Brooklyn Bridge,Chinatown,Chinatown,Brooklyn,Manhattan,New York City,York,China,New York,";"$$"
"PXI9KT";;"Chinatown,Greenwich,Greenwich Village,Manhattan,Shanghai,York,Italy,New York,Washington,";"$$"
"PHW0WH";"Water Sports,";"Ketchikan,Ketchikan,The Islands,Ketchikan,Alaska,";"$$$"
"P6CJSN";"Outdoor Activities,";"Alaska,";"$$"
"PCSFEB";"Water Sports,";"The Strip,Dese,Las Vegas,Colorado,";"$$"
"PNVNEF";;"Honolulu,Islands,The Islands,Hawaii,Honolulu,Hawaii,";"$"
"PYRBL0";;"Mountains,San Diego,San Diego,";"$$$$"
"P3LDMA";;;"$$"
"P7OUYZ";;"North Shore,Oahu,Pali,Hawaii,Hawaii,";"$$"
"PM7HQ9";;"Oakland International Airport,Alcatraz,Coit Tower,Golden Gate Bridge,Oakland,San Francisco,San Francisco,";"$$$"
"PJDFXE";;"Hana Highway,Maui,Hawaii,Maui,Hawaii,";"$$$$"
"PSRHWM";"Water Sports,";"Solitude,Las Vegas,Colorado,";"$$$"
"PN2WN1";;"Honolulu,Islands,Oahu,The Islands,Hawaii,Honolulu,Hawaii,";"$"
"PCV2O0";"Water Sports,";"Las Vegas,";"$$$$"
"P5EA5E";"Water Sports,";"Honolulu,Oahu,San Pedro,Hawaii,Honolulu,Hawaii,";"$$"
"P42LY3";;"Las Vegas,";"$$"
"PTFTVD";;"Lone Pine Koala Sanctuary,Brisbane,Miri,Australia,";"$$"
