"Tour Code";"Themes";"Tour Destination";"Price"
"PY6KVG";"Museum,Outdoor Activities,";"Jama Masjid,Qutub Minar,Bikaner,Delhi,Florence,Haveli,Jaisalmer,Jodhpur,New Delhi,Saga,Temple,Toyota,India,";"$$$$"
"PJXEXJ";;"Agra Fort,Fatehpur Sikri,Taj Mahal,Agra,Fatehpur,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$"
"PPZVQQ";;"Agra Fort,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Jama Masjid,Nara,Big Ben and the Houses of Parliament,Qutub Minar,Red Fort,Taj Mahal,Agra,Delhi,Fatehpur,Florence,Jaipur,Temple,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PEG1YP";"Outdoor Activities,";"New Delhi Airport,Agra Fort,Taj Mahal,Agra,Bikaner,Chittaurgarh,Delhi,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,New Delhi,Pushkar,Temple,Toyota,Udaipur,India,Agra Fort,Taj Mahal,";"$$$$"
"P0E0CX";"Outdoor Activities,";"New Delhi Airport,Ajmer,Bikaner,Delhi,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,New Delhi,Pushkar,Temple,Toyota,Udaipur,India,";"$$$$"
"P03YTK";"Museum,Museum,National Park,Outdoor Activities,";"Amber Palace,Palace of the Winds (Hawa Mahal),Haveli,Jaipur,Manta,Temple,Toyota,Vrindavan,India,";"$$$$"
"PNCNQ6";"Museum,Museum,Museum,";"Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Kish,Red Fort,Taj Mahal,Abha,Agra,Ajmer,Bikaner,Chittaurgarh,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,Manta,Pushkar,Temple,Toyota,Udaipur,Vrindavan,India,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PGWPLW";;"Agra Fort,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Jama Masjid,Nara,Taj Mahal,Agra,Delhi,Fatehpur,Florence,Haveli,Jaipur,Manta,New Delhi,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"P0BC96";"Museum,Museum,";"New Delhi Airport,Agra Fort,Amber Palace,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Palace Museum,Taj Mahal,Agra,Bari,Chittaurgarh,Delhi,Fatehpur,Haveli,Jaipur,Manta,New Delhi,Pushkar,Temple,Toyota,Udaipur,Vrindavan,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PHKWUT";;"Agra Fort,Chandni Chowk,Jama Masjid,Big Ben and the Houses of Parliament,Qutub Minar,Red Fort,Taj Mahal,Agra,Delhi,Florence,Temple,Toyota,India,Agra Fort,Taj Mahal,";"$$$"
"PL14PH";"Museum,Museum,Museum,";"Soweto,Soweto,Africa,South Africa,";"$$"
"PCV8W4";;"Homestead,Johannesburg,";"$$$"
"PNCPWQ";"Water Sports,Water Sports,Water Sports,Water Sports,Water Sports,Water Sports,";"Whangamata,Coro,";"$$"
"PK601R";"Water Sports,Water Sports,Water Sports,Water Sports,";"New Zealand,";"$$$"
"P85MLF";"Food Tour,";"Santorini Beaches,Artem,Santorini,Greece,Santorini,";"$$$$"
"PRKSWS";"Sky Activities,";"Santorini Beaches,Islands,Mykonos,Santorini,Santorini,";"$$$$"
